1 1
68.3065	2000
68.3756	1900
68.4905	1800
68.6608	1700
68.9001	1600
69.2251	1500
69.4262	1450
69.6578	1400
69.9232	1350
70.2276	1300
70.5754	1250
70.9741	1200
71.4297	1150
71.9525	1100
72.5517	1050
73.2418	1000
74.0368	950
74.9584	900
76.029	850
77.2822	800
78.7567	750
80.507	700
81.5071	675
82.6054	650
83.8135	625
85.1505	600
86.6348	575
88.288	550
90.1433	525
92.2393	500
94.121	480
96.2163	460
98.5615	440
101.2043 420
104.2075 400
105.8688	390
107.6531	380
109.5737	370
111.6498	360
113.903	350
116.3592	340
119.0492	330
122.0126	320
125.2997	310
128.977	300
130.9876	295
133.1322	290
135.4253	285
137.8886	280
140.5448	275
143.4259	270
146.568	265
150.023	260
153.8567	255
158.1594	250
163.067	245
168.789	240
171.3776	238
174.184	236
177.2545	234
180.655	232
184.4837	230
186.6012	229
188.8894	228
191.3875	227
194.1495	226
197.2595	225
200.8468	224
205.1798	223
210.9885	222
1 2
73.21558	2000
74.80542	1800
76.95715	1600
79.92822	1400
84.16589	1200
86.98676	1100
90.47571	1000
94.89154	900
100.5979	800
106.53156	720
110.11017	680
114.25241	640
119.05765	600
121.77936	580
124.75183	560
127.99606	540
131.57529	520
135.5553	500
139.96594	480
144.98199	460
150.64035	440
157.20132	420
164.87523	400
169.21631	390
174.05554	380
179.36714	370
185.40326	360
192.21286	350
200.07442	340
209.47105	330
221.08298	320
229.68025	314
236.52045	310
240.27023	308
244.41856	306
249.18375	304
254.51747	302
260.77563	300
264.57809	299
268.48911	298
273.6615	297
280.11017	296
283.29105	295.6
287.88147	295.2
291.4567	295
1 3
74.68896	2700
76.7959		2400
79.69775	2100
83.81189	1800
89.89087	1500
99.52612	1200
106.68146	1050
116.57532	900
121.66254	840
127.68903	780
134.87427	720
143.74176	660
154.87915	600
161.63812	570
169.49081	540
178.70993	510
189.8992	480
203.78812	450
212.13986	435
221.90474	420
233.55038	405
247.89423	390
258.29968	381
266.70822	375
271.28888	372
276.24658	369
281.9071	366
287.93961	363
295.44479	360
299.16888	358.5
303.84317	357
308.51746	355.5
314.38745	354
316.96155	353.4
319.53592	352.8
322.11002	352.2
326.07346	351.6
330.07706	351
334.08066	350.4
341.72537	349.8
346.2785	349.5
2 4
273.5376	8000
273.8907	7500
274.536	7000
275.5665	6500
277.1033	6000
279.3043	5500
282.4154	5000
286.7837	4500
292.9504	4000
301.7906	3500
314.8072	3000
321.7515	2800
330.0767	2600
340.1768	2400
352.6388	2200
368.3233	2000
377.7918	1900
388.6539	1800
401.1781	1700
415.8496	1600
424.1733	1550
433.2726	1500
443.2837	1450
454.3469	1400
466.6791	1350
480.5066	1300
496.1846	1250
514.1611	1200
522.1405	1180
530.6355	1160
539.7327	1140
549.4843	1120
560.0149	1100
571.4118	1080
583.8547	1060
597.5132	1040
612.663	1020
629.641	1000
638.9832	990
648.9916	980
659.7776	970
671.4862	960
677.7538	955
684.3226	950
698.5326	940
706.2459	935
714.4773	930
723.2986	925
732.7988	920
743.135	915
754.5099	910
767.2178	905
781.7347	900
788.2055	898
795.1567	896
802.6942	894
810.98	892
820.4648	890
825.4073	889
830.9885	888
837.1386	887
844.0735	886
852.2165	885
862.6566	884
3 7
616.2919	14000
616.7058	13500
617.3169	13000
618.1684	12500
619.2772	12000
620.6987	11500
622.4858	11000
624.6986	10500
627.4154	10000
630.7304	9500
634.7595	9000
639.6534	8500
645.5922	8000
652.8251	7500
661.6631	7000
672.5303	6500
686.0116	6000
702.9201	5500
724.4547	5000
734.7485	4800
746.2087	4600
759.0563	4400
773.5003	4200
789.8658	4000
808.5358	3800
830.051	3600
855.0568	3400
884.4954	3200
919.6306	3000
939.9157	2900
962.4168	2800
987.5645	2700
1015.9053	2600
1048.1974	2500
1085.4572	2400
1129.1825	2300
1181.7113	2200
1212.405	2150
1246.9916	2100
1286.572	2050
1332.8321	2000
1353.7582	1980
1376.4443	1960
1401.2587	1940
1428.6665	1920
1459.3077	1900
1476.1912	1890
1494.3665	1880
1514.0147	1870
1535.5219	1860
1559.6764	1850
1572.3958	1845
1586.3231	1840
1601.3434	1835
1617.6834	1830
1655.8258	1820
1664.6609	1818
1674.057	1816
1684.1269	1814
1695.0315	1812
1707.0067	1810
1713.5058	1809
1720.4341	1808
1727.8903	1807
1736.0194	1806
1745.0624	1805
1755.4697	1804
1768.2081	1803
1786.6838	1802
4 9
1097.1471	18000
1098.5743	17000
1100.9707	16000
1104.5754	15000
1109.7356	14000
1116.8294	13000
1126.6554	12000
1139.882	11000
1157.8232	10000
1169.1079	9500
1182.3408	9000
1197.9316	8500
1216.4051	8000
1238.4504	7500
1264.9958	7000
1297.3284	6500
1337.2987	6000
1387.6598	5500
1452.8981	5000
1468.3162	4900
1484.7082	4800
1502.1371	4700
1520.7599	4600
1561.9887	4400
1609.6999	4200
1665.6569	4000
1697.4938	3900
1732.495	3800
1771.1944	3700
1814.3898	3600
1863.0447	3500
