* csi calibration file AsyEos
* ntel    a       b
80	0.4897	-21.829
81	0.4632	-49.668
82	0.4993	-51.607
83	0.5149	-66.979
84	0.5023	-43.185
85	0.5028	-67.215
86	0.4829	-52.941
87	0.4936	-54.709
88	0.4663	-57.361
89	0.5330	-56.247
90	0.4955	-43.004
91	0.5046	-77.861
92	1.000	1.000
93	0.9007	149.510
94	0.5309	-55.292
95      0.5260  -74.978
96	0.4581	-63.040
97	1.0000	1.000
98	0.5962	-64.784
99	0.4887	-50.601
100	0.4836	-70.517
101	0.4271	-38.280
102	0.5210	-61.242
103	0.4548	-54.461
104	1.0000	1.000
105	0.5028	-72.538
106	0	0
107	0.4489	-46.087
108	1.2268	140.350
109	0.5266	-74.256
110	0.5526	-59.207
111	0.4731	-56.637
112	0.6368	-106.240
113	0.5642	-54.358
114	0.5706	-63.359
115	0.5555	-70.008
116	0.5853	-74.677
117	0.6363	-91.066
118	0.5030	-70.967
119	0.5618	-71.831
120	0.5543	-52.372
121	0.6113	-65.123
122	0.5104	-58.638
123	0.6033	-86.951
124	1.0000	1.000
125	0.7730	196.440
126	0.5090	-62.683
127	0.6161	-105.740
128	0.6242	-87.073
129	0.0836	170.400
130	0.4706	-65.409
131	0.6378	-87.752
132	0.5799	-82.871
133	1.0000	1.000
134	0.6163	-84.045
135	0.4997	-55.772
136	0.5798	-67.338
137	0.5655	-60.100
138	0.6107	-97.903
139	0.5872	-81.319
140	0.6049	-90.299
141	0.5983	-88.027
142	0.5587	-60.986
143	0.6203	-72.056
144	0.5901	-75.519
145	1.0000	1.000
146	0.6207	-71.105
147	0.6738	-97.056
148	1.0000	1.000
149	0.7378	-78.999
150	0.4523	-27.007
151	0.4981	-48.074
152	0.5651	-74.355
153	0.5751	-91.464
154	0.4663	-58.619
155	1.0000	1.000
156	0.4834	-60.329
157	0.5731	-65.997
158	1.0000	1.000
159	0.4769	-52.971
160	0.4362	-57.751
161	0.5628	-50.435
162	1.0000	1.000
163	0.4907	-44.660
164	0.5442	-73.834
165	0.4717	-53.607
166	0.5018	-38.479
167	1.0000	1.000
168	0.5333	-66.766
169	0.4640	-83.678
170	0.5072	-87.630
171	0.4804	-48.257
172	0.4837	-57.234
173	0.5413	-61.037
174	0.6165	-82.011
175	0.5244	-72.978
176	0.9081	-115.560
177	0.6853	-92.701
178	0.5223	-56.178
179	0.7725	-116.580
180	1.0000	1.000
181	0.4788	-53.291
182	0.6636	-92.546
183	0.5345	-64.565
184	0.8332	-86.394
185	0.4727	167.280
186	0.8898	-116.000
187	0.6183	-60.110
188	1.0000	1.000
189	0.7115	-82.715
190	0.5563	-68.152
191	0.9220	-111.970
192	0.6944	-97.087	
193	0.5722	-68.302
194	0.5673	-73.959
195	1.0000	1.000
196	0.5379	-60.585
197	0.7199	-86.995
