80 3505 1.000
81 3556 1.000
82 3600 1.000
83 3551 1.000
84 3571 1.000
85 3661 1.000
86 3607 1.000
87 3611 1.000
88 3524 1.000
89 3560 1.000
90 3601 1.000
91 3597 1.000
92 0    1.000
93 3586 1.000
94 3588 1.000
95 3635 1.000
96 3554 1.000
97 0    1.000
98 3583 1.000
99 3660 1.000
100 3689 1.000
101 3601 1.000
102 3611 1.000
103 3588 1.000
104 0    1.000
105 3618 1.000
106 0    1.000
107 3589 1.000
108 3553 1.000
109 3560 1.000
110 3647 1.000
111 3624 1.000
112 3549 1.000
113 3639 1.000
114 3578 1.000
115 3578 1.000
116 3664 1.000
117 3602 1.000
118 3630 1.000
119 3575 1.000
120 3547 1.000
121 3611 1.000
122 3554 1.000
123 3686 1.000
124 0    1.000
125 3915 1.000
126 3543 1.000
127 3684 1.000
128 3677 1.000
129 0    1.000
130 3592 1.000
131 3639 1.000
132 3577 1.000
133 0    1.000
134 3637 1.000
135 3575 1.000
136 3606 1.000
137 3664 1.000
138 3535 1.000
139 3643 1.000
140 3610 1.000
141 3594 1.000
142 3643 1.000
143 3523 1.000
144 3601 1.000
145 0    1.000
146 3741 1.000
147 3632 1.000
148 0    1.000
149 3710 1.000
150 3692 1.000
151 3609 1.000
152 3793 1.000
153 3652 1.000
154 3713 1.000
155 0    1.000
156 3731 1.000
157 3601 1.000
158 0    1.000
159 3795 1.000
160 3691 1.000
161 3637 1.000
162 0    1.000
163 3633 1.000
164 3755 1.000
165 3655 1.000
166 3731 1.000
167 0    1.000
168 3621 1.000
169 3651 1.000
170 3629 1.000
171 3700 1.000
172 3710 1.000
173 3662 1.000
174 3709 1.000
175 3542 1.000
176 3717 1.000
177 3681 1.000
178 3639 1.000
179 3627 1.000
180 0    1.000
181 3634 1.000
182 3677 1.000
183 3692 1.000
184 3671 1.000
185 3651 1.000
186 3680 1.000
187 3709 1.000
188 0    1.000
189 3604 1.000
190 3610 1.000
191 3642 1.000
192 3710 1.000
193 3667 1.000
194 3752 1.000
195 0    1.000
196 3637 1.000
197 3650 1.000
198 3654 1.000
199 3621 1.000
200 3684 1.000
201 0    1.000
202 3684 1.000
203 3705 1.000
204 3578 1.000
205 3698 1.000
206 3622 1.000
207 0    1.000
208 3762 1.000
209 3724 1.000
210 3660 1.000
211 3643 1.000
212 3735 1.000
213 3692 1.000
214 3670 1.000
215 3666 1.000
216 3704 1.000
217 3681 1.000
218 3709 1.000
219 3694 1.000
220 0    1.000
221 3681 1.000
222 3552 1.000
223 3672 1.000
224 3684 1.000
225 3765 1.000
226 3569 1.000
227 3520 1.000
228 3676 1.000
229 0    1.000
230 3591 1.000
231 3557 1.000
232 3600 1.000
233 3730 1.000
234 0    1.000
235 3708 1.000
236 0    1.000
237 3656 1.000
238 3664 1.000
239 3594 1.000
240 0    1.000
241 0    1.000
242 3670 1.000
243 3602 1.000
244 3680 1.000
245 3700 1.000
246 3620 1.000
247 3523 1.000
248 0    1.000
249 3552 1.000
250 0    1.000
251 3693 1.000
252 3632 1.000
253 0    1.000
254 3601 1.000
255 3628 1.000
256 3582 1.000
257 3635 1.000
258 3580 1.000
259 3664 1.000
260 0    1.000
261 3601 1.000
262 3647 1.000
263 3545 1.000
264 3609 1.000
265 3620 1.000
266 3667 1.000
267 3586 1.000
268 3536 1.000
269 3626 1.000
270 0    1.000
271 3640 1.000
272 3688 1.000
273 3648 1.000
274 0    1.000
275 3715 1.000
276 0    1.000
277 3605 1.000
278 3590 1.000
279 3628 1.000
280 3658 1.000
281 0    1.000
282 0    1.000
283 3665 1.000
284 3601 1.000
285 3663 1.000
286 3658 1.000
